Time(s),Input(v),Output(v),Output(m)
6.59999999999999,2.495,0.000,0.000
6.69999999999999,2.495,0.000,0.000
6.79999999999999,2.495,0.000,0.000
6.89999999999999,2.495,0.000,0.000
6.99999999999999,2.495,0.000,0.000
7.09999999999999,2.495,0.000,0.000
7.19999999999999,2.495,0.000,0.000
7.29999999999999,2.495,0.000,0.000
7.39999999999999,2.495,0.000,0.000
7.49999999999999,2.495,0.000,0.000
7.59999999999999,2.495,0.000,0.000
7.69999999999999,2.495,0.000,0.000
7.79999999999999,2.495,0.000,0.000
7.89999999999999,2.495,0.000,0.000
7.99999999999999,2.495,0.000,0.000
8.09999999999999,2.485,0.000,0.000
8.19999999999999,2.495,0.000,0.000
8.29999999999999,2.495,0.000,0.000
8.39999999999999,2.495,0.000,0.000
8.49999999999999,2.485,0.000,0.000
8.59999999999999,2.495,0.000,0.000
8.69999999999999,2.495,0.000,0.000
8.79999999999998,2.495,0.000,0.000
8.89999999999998,2.495,0.000,0.000
8.99999999999998,2.485,0.000,0.000
9.09999999999998,2.495,0.000,0.000
9.19999999999998,2.495,0.000,0.000
9.29999999999998,2.495,0.000,0.000
9.39999999999998,2.495,0.000,0.000
9.49999999999998,2.495,0.000,0.000
9.59999999999998,2.495,0.000,0.000
9.69999999999998,2.495,0.000,0.000
9.79999999999998,2.495,0.000,0.000
9.89999999999998,2.495,0.000,0.000
9.99999999999998,2.495,0.000,0.000
10.1,2.495,0.000,0.000
10.2,2.495,0.000,0.000
10.3,2.485,0.000,0.000
10.4,2.495,0.000,0.000
10.5,2.495,0.000,0.000
10.6,2.495,0.000,0.000
10.7,2.485,0.000,0.000
10.8,2.495,0.000,0.000
10.9,2.495,0.000,0.000
11,2.495,0.000,0.000
11.1,2.495,0.000,0.000
11.2,2.485,0.000,0.000
11.3,2.495,0.000,0.000
11.4,2.495,0.000,0.000
11.5,2.495,0.000,0.000
11.6,2.495,0.000,0.000
11.7,2.495,0.000,0.000
11.8,2.495,0.000,0.000
11.9,2.495,0.000,0.000
12,2.495,0.000,0.000
12.1,2.485,0.000,0.000
12.2,2.495,0.000,0.000
12.3,2.495,0.000,0.000
12.4,2.495,0.000,0.000
12.5,2.495,0.000,0.000
12.6,2.495,0.000,0.000
12.7,2.495,0.000,0.000
12.8,2.495,0.000,0.000
12.9,2.495,0.000,0.000
13,2.495,0.000,0.000
13.1,2.495,0.000,0.000
13.2,2.495,0.000,0.000
13.3,2.495,0.000,0.000
13.4,2.495,0.000,0.000
13.5,2.495,0.000,0.000
13.6,2.485,0.000,0.000
13.7,2.495,0.000,0.000
13.8,2.495,0.000,0.000
13.9,2.495,0.000,0.000
14,2.495,0.000,0.000
14.1,2.495,0.000,0.000
14.2,2.495,0.000,0.000
14.3,2.495,0.000,0.000
14.4,2.495,0.000,0.000
14.5,2.495,0.000,0.000
14.6,2.495,0.000,0.000
14.7,2.476,0.000,0.000
14.8,2.485,0.000,0.000
14.9,2.485,0.000,0.000
15,2.485,0.000,0.000
15.1,2.485,0.000,0.000
15.2,2.485,0.000,0.000
15.3,4.843,0.000,0.000
15.4,5.000,0.000,0.000
15.5,5.000,0.051,0.052
15.6,5.000,0.153,0.156
15.7,5.000,0.305,0.311
15.8,5.000,0.506,0.516
15.9,5.000,0.755,0.771
16,5.000,1.052,1.074
16.1,5.000,1.397,1.425
16.2,5.000,1.788,1.824
16.3,5.000,2.224,2.270
16.4,5.000,2.706,2.761
16.5,5.000,3.233,3.299
16.6,5.000,3.803,3.881
16.7,5.000,4.417,4.507
16.8,5.000,5.074,5.177
16.9,5.000,5.772,5.890
17,5.000,6.513,6.645
17.1,5.000,7.294,7.443
17.2,5.000,8.115,8.281
17.3,5.000,8.977,9.160
17.4,5.000,9.878,10.079
17.5,5.000,10.000,11.038
17.6,5.000,10.000,12.036
17.7,5.000,10.000,13.072
17.8,5.000,10.000,14.146
17.9,5.000,10.000,15.258
18,5.000,10.000,16.406
18.1,5.000,10.000,17.591
18.2,5.000,10.000,18.811
18.3,5.000,10.000,20.067
18.4,5.000,10.000,21.358
18.5,5.000,10.000,22.683
18.6,5.000,10.000,24.042
18.7,5.000,10.000,25.434
18.8,5.000,10.000,26.860
18.9,5.000,10.000,28.318
19,5.000,10.000,29.808
19.1,5.000,10.000,31.329
19.2,5.000,10.000,32.882
19.3,5.000,10.000,34.465
19.4,5.000,10.000,36.079
19.5,5.000,10.000,37.723
19.6,5.000,10.000,39.396
19.7,5.000,10.000,41.098
19.8,5.000,10.000,42.829
19.9,5.000,10.000,44.588
20,5.000,10.000,46.375
20.1,5.000,10.000,48.189
20.2,5.000,10.000,50.030
20.3,5.000,10.000,51.898
20.4,5.000,10.000,53.793
20.5,5.000,10.000,55.713
20.6,5.000,10.000,57.659
20.7,5.000,10.000,59.631
20.8,5.000,10.000,61.627
20.9,5.000,10.000,63.648
21,5.000,10.000,65.693
21.1,5.000,10.000,67.762
21.2,5.000,10.000,69.854
21.3,5.000,10.000,71.970
21.4,5.000,10.000,74.108
21.5,5.000,10.000,76.269
21.6,5.000,10.000,78.452
21.7,5.000,10.000,80.658
21.8,5.000,10.000,82.885
21.9,5.000,10.000,85.133
22,5.000,10.000,87.402
22.1,5.000,10.000,89.692
22.2,5.000,10.000,92.003
22.3,5.000,10.000,94.334
22.4,5.000,10.000,96.684
22.5,5.000,10.000,99.055
22.6000000000001,5.000,10.000,101.444
22.7000000000001,5.000,10.000,103.853
22.8000000000001,5.000,10.000,106.280
22.9000000000001,5.000,10.000,108.726
23.0000000000001,5.000,10.000,111.191
23.1000000000001,5.000,10.000,113.673
23.2000000000001,5.000,10.000,116.173
23.3000000000001,5.000,10.000,118.691
23.4000000000001,5.000,10.000,121.226
23.5000000000001,5.000,10.000,123.778
23.6000000000001,5.000,10.000,126.347
23.7000000000001,5.000,10.000,128.932
23.8000000000001,5.000,10.000,131.534
23.9000000000001,5.000,10.000,134.152
24.0000000000001,5.000,10.000,136.786
24.1000000000001,5.000,10.000,139.436
24.2000000000001,5.000,10.000,142.101
24.3000000000001,5.000,10.000,144.781
24.4000000000001,5.000,10.000,147.476
24.5000000000001,5.000,10.000,150.186
24.6000000000001,5.000,10.000,152.911
24.7000000000001,5.000,10.000,155.650
24.8000000000001,5.000,10.000,158.404
24.9000000000001,5.000,10.000,161.171
25.0000000000001,5.000,10.000,163.952
25.1000000000001,5.000,10.000,166.747
25.2000000000001,5.000,10.000,169.555
25.3000000000001,5.000,10.000,172.377
25.4000000000001,5.000,10.000,175.211
25.5000000000001,5.000,10.000,178.059
25.6000000000001,5.000,10.000,180.919
25.7000000000001,5.000,10.000,183.792
25.8000000000001,5.000,10.000,186.677
25.9000000000001,5.000,10.000,189.574
26.0000000000001,5.000,10.000,192.484
26.1000000000001,5.000,10.000,195.405
26.2000000000001,5.000,10.000,198.337
26.3000000000001,5.000,10.000,201.282
26.4000000000001,5.000,10.000,204.238
26.5000000000001,5.000,10.000,207.204
26.6000000000001,5.000,10.000,210.182
26.7000000000001,5.000,10.000,213.171
26.8000000000001,5.000,10.000,216.171
26.9000000000001,5.000,10.000,219.181
27.0000000000001,5.000,10.000,222.202
27.1000000000001,5.000,10.000,225.233
27.2000000000001,5.000,10.000,228.274
27.3000000000001,5.000,10.000,231.325
27.4000000000001,5.000,10.000,234.386
27.5000000000001,5.000,10.000,237.456
27.6000000000001,5.000,10.000,240.537
27.7000000000001,5.000,10.000,243.627
27.8000000000001,5.000,10.000,246.726
27.9000000000001,5.000,10.000,249.834
28.0000000000001,5.000,10.000,252.951
28.1000000000001,5.000,10.000,256.078
28.2000000000001,5.000,10.000,259.213
28.3000000000001,5.000,10.000,262.357
28.4000000000001,5.000,10.000,265.509
28.5000000000001,5.000,10.000,268.670
28.6000000000001,5.000,10.000,271.840
28.7000000000001,5.000,10.000,275.017
28.8000000000001,5.000,10.000,278.203
28.9000000000001,5.000,10.000,281.396
29.0000000000001,5.000,10.000,284.598
29.1000000000001,5.000,10.000,287.807
29.2000000000001,5.000,10.000,291.024
29.3000000000001,5.000,10.000,294.249
29.4000000000001,5.000,10.000,297.481
29.5000000000001,5.000,10.000,300.720
29.6000000000002,5.000,10.000,303.967
29.7000000000002,5.000,10.000,307.221
29.8000000000002,5.000,10.000,310.481
29.9000000000002,5.000,10.000,313.749
30.0000000000002,5.000,10.000,317.024
30.1000000000002,5.000,10.000,320.305
30.2000000000002,5.000,10.000,323.593
30.3000000000002,5.000,10.000,326.888
30.4000000000002,5.000,10.000,330.189
30.5000000000002,5.000,10.000,333.497
30.6000000000002,5.000,10.000,336.811
30.7000000000002,5.000,10.000,340.131
30.8000000000002,5.000,10.000,343.457
30.9000000000002,5.000,10.000,346.789
31.0000000000002,5.000,10.000,350.127
31.1000000000002,5.000,10.000,353.471
31.2000000000002,5.000,10.000,356.821
31.3000000000002,5.000,10.000,360.177
31.4000000000002,5.000,10.000,363.538
31.5000000000002,5.000,10.000,366.905
31.6000000000002,5.000,10.000,370.277
31.7000000000002,5.000,10.000,373.655
31.8000000000002,5.000,10.000,377.038
31.9000000000002,5.000,10.000,380.426
32.0000000000002,5.000,10.000,383.820
32.1000000000002,5.000,10.000,387.218
32.2000000000002,5.000,10.000,390.622
32.3000000000002,5.000,10.000,394.030
32.4000000000002,5.000,10.000,397.444
32.5000000000002,5.000,10.000,400.862
32.6000000000002,5.000,10.000,404.285
32.7000000000002,5.000,10.000,407.713
32.8000000000002,5.000,10.000,411.146
32.9000000000002,5.000,10.000,414.583
33.0000000000002,5.000,10.000,418.024
33.1000000000002,5.000,10.000,421.470
33.2000000000002,5.000,10.000,424.920
33.3000000000002,5.000,10.000,428.375
33.4000000000002,5.000,10.000,431.834
33.5000000000002,5.000,10.000,435.297
33.6000000000002,5.000,10.000,438.764
33.7000000000002,5.000,10.000,442.235
33.8000000000002,5.000,10.000,445.711
33.9000000000002,5.000,10.000,449.190
34.0000000000002,5.000,10.000,452.673
34.1000000000002,5.000,10.000,456.160
34.2000000000002,5.000,10.000,459.651
34.3000000000002,5.000,10.000,463.146
34.4000000000002,5.000,10.000,466.644
34.5000000000002,5.000,10.000,470.146
34.6000000000002,5.000,10.000,473.652
34.7000000000002,5.000,10.000,477.161
34.8000000000002,5.000,10.000,480.674
34.9000000000002,5.000,10.000,484.190
35.0000000000002,5.000,10.000,487.709
35.1000000000002,5.000,10.000,491.232
35.2000000000002,5.000,10.000,494.759
35.3000000000002,5.000,10.000,498.288
35.4000000000002,5.000,10.000,501.821
35.5000000000002,5.000,10.000,505.357
35.6000000000002,5.000,10.000,508.895
35.7000000000002,5.000,10.000,512.438
35.8000000000002,5.000,10.000,515.983
35.9000000000002,5.000,10.000,519.531
36.0000000000002,5.000,10.000,523.082
36.1000000000002,5.000,10.000,526.636
36.2000000000002,5.000,10.000,530.193
36.3000000000002,5.000,10.000,533.752
36.4000000000002,5.000,10.000,537.315
36.5000000000002,5.000,10.000,540.880
36.6000000000003,5.000,10.000,544.448
36.7000000000003,5.000,10.000,548.019
