Time(s),Input(v),Output(v),Output(m)
9.49999999999998,2.542,0.000,0.000
9.59999999999998,2.493,0.000,0.000
9.69999999999998,2.542,0.000,0.000
9.79999999999998,2.503,0.000,0.000
9.89999999999998,2.503,0.000,0.000
9.99999999999998,2.542,0.000,0.000
10.1,2.493,0.000,0.000
10.2,2.493,0.000,0.000
10.3,2.542,0.000,0.000
10.4,2.532,0.000,0.000
10.5,2.493,0.000,0.000
10.6,2.542,0.000,0.000
10.7,2.522,0.000,0.000
10.8,2.483,0.000,0.000
10.9,2.542,0.000,0.000
11,2.522,0.000,0.000
11.1,2.522,0.000,0.000
11.2,2.493,0.000,0.000
11.3,2.512,0.000,0.000
11.4,2.542,0.000,0.000
11.5,2.522,0.000,0.000
11.6,2.532,0.000,0.000
11.7,2.522,0.000,0.000
11.8,2.503,0.000,0.000
11.9,2.522,0.000,0.000
12,2.503,0.000,0.000
12.1,2.542,0.000,0.000
12.2,2.503,0.000,0.000
12.3,2.542,0.000,0.000
12.4,2.522,0.000,0.000
12.5,2.532,0.000,0.000
12.6,2.522,0.000,0.000
12.7,2.483,0.000,0.000
12.8,2.542,0.000,0.000
12.9,2.503,0.000,0.000
13,2.512,0.000,0.000
13.1,2.542,0.000,0.000
13.2,2.532,0.000,0.000
13.3,2.503,0.000,0.000
13.4,2.512,0.000,0.000
13.5,2.542,0.000,0.000
13.6,2.493,0.000,0.000
13.7,2.522,0.000,0.000
13.8,2.493,0.000,0.000
13.9,2.532,0.000,0.000
14,2.552,0.000,0.000
14.1,2.483,0.000,0.000
14.2,2.532,0.000,0.000
14.3,2.493,0.000,0.000
14.4,2.493,0.000,0.000
14.5,2.483,0.000,0.000
14.6,2.552,0.000,0.000
14.7,2.542,0.000,0.000
14.8,2.542,0.000,0.000
14.9,2.542,0.000,0.000
15,2.542,0.000,0.000
15.1,2.483,0.000,0.000
15.2,2.542,0.000,0.000
15.3,2.522,0.000,0.000
15.4,2.483,0.000,0.000
15.5,2.532,0.000,0.000
15.6,2.542,0.000,0.000
15.7,2.542,0.001,0.001
15.8,2.512,0.003,0.003
15.9,2.483,0.004,0.005
16,2.512,0.006,0.006
16.1,2.493,0.008,0.008
16.2,2.512,0.009,0.010
16.3,2.503,0.011,0.012
16.4,2.512,0.013,0.013
16.5,2.542,0.015,0.016
16.6,2.542,0.018,0.019
16.7,2.542,0.022,0.022
16.8,2.503,0.027,0.027
16.9,2.503,0.031,0.032
17,2.542,0.036,0.036
17.1,2.512,0.041,0.042
17.2,2.512,0.046,0.047
17.3,2.483,0.052,0.053
17.4,2.493,0.057,0.059
17.5,2.522,0.062,0.064
17.6,2.493,0.068,0.069
17.7,2.483,0.073,0.075
17.8,2.542,0.078,0.079
17.9,2.503,0.083,0.085
18,2.542,0.089,0.091
18.1,2.493,0.095,0.097
18.2,2.542,0.101,0.104
18.3,2.532,0.108,0.111
18.4,2.512,0.116,0.118
18.5,2.532,0.123,0.126
18.6,2.532,0.131,0.134
18.7,2.512,0.140,0.143
18.8,2.542,0.149,0.152
18.9,2.503,0.158,0.162
19,2.483,0.168,0.171
19.1,2.512,0.177,0.181
19.2,2.542,0.186,0.190
19.3,2.512,0.196,0.200
19.4,2.512,0.206,0.210
19.5,2.483,0.216,0.220
19.6,2.493,0.226,0.230
19.7,2.542,0.235,0.240
19.8,2.542,0.245,0.250
19.9,2.493,0.256,0.261
20,2.493,0.266,0.271
20.1,2.542,0.276,0.282
20.2,2.512,0.287,0.293
20.3,2.532,0.298,0.304
20.4,2.542,0.310,0.316
20.5,2.512,0.322,0.328
20.6,2.542,0.334,0.341
20.7,2.532,0.347,0.354
20.8,2.493,0.360,0.368
20.9,2.532,0.374,0.381
21,2.503,0.387,0.395
21.1,2.493,0.401,0.409
21.2,2.532,0.414,0.422
21.3,2.503,0.427,0.436
21.4,2.493,0.441,0.450
21.5,2.512,0.454,0.463
21.6,2.522,0.467,0.476
21.7,2.493,0.480,0.490
21.8,2.483,0.494,0.504
21.9,2.542,0.506,0.516
22,2.522,0.519,0.530
22.1,2.483,0.533,0.544
22.2,2.512,0.546,0.557
22.3,2.493,0.559,0.570
22.4,2.483,0.572,0.583
22.5,2.532,0.584,0.596
22.6000000000001,2.473,0.597,0.609
22.7000000000001,2.532,0.609,0.621
22.8000000000001,2.542,0.621,0.634
22.9000000000001,2.483,0.634,0.647
23.0000000000001,2.512,0.647,0.660
23.1000000000001,2.483,0.660,0.673
23.2000000000001,2.503,0.672,0.685
23.3000000000001,2.493,0.684,0.698
23.4000000000001,2.532,0.695,0.710
23.5000000000001,2.532,0.708,0.722
23.6000000000001,2.493,0.720,0.735
23.7000000000001,2.532,0.733,0.748
23.8000000000001,2.512,0.746,0.761
23.9000000000001,2.542,0.759,0.774
24.0000000000001,2.503,0.772,0.788
24.1000000000001,2.522,0.786,0.802
24.2000000000001,2.512,0.800,0.816
24.3000000000001,2.512,0.813,0.830
24.4000000000001,2.542,0.827,0.844
24.5000000000001,2.483,0.842,0.859
24.6000000000001,2.532,0.856,0.873
24.7000000000001,2.483,0.870,0.888
24.8000000000001,2.542,0.884,0.902
24.9000000000001,2.512,0.899,0.917
25.0000000000001,2.522,0.913,0.932
25.1000000000001,2.532,0.928,0.947
25.2000000000001,2.522,0.944,0.963
25.3000000000001,2.512,0.959,0.979
25.4000000000001,2.522,0.975,0.995
25.5000000000001,2.512,0.991,1.011
25.6000000000001,2.522,1.007,1.027
25.7000000000001,2.483,1.023,1.044
25.8000000000001,2.522,1.038,1.059
25.9000000000001,2.542,1.054,1.076
26.0000000000001,2.483,1.070,1.092
26.1000000000001,2.483,1.086,1.108
26.2000000000001,2.493,1.102,1.124
26.3000000000001,2.493,1.116,1.139
26.4000000000001,2.483,1.131,1.154
26.5000000000001,2.532,1.145,1.168
26.6000000000001,2.493,1.159,1.183
26.7000000000001,2.483,1.174,1.198
26.8000000000001,2.542,1.187,1.211
26.9000000000001,2.503,1.201,1.226
27.0000000000001,2.542,1.216,1.240
27.1000000000001,2.483,1.230,1.255
